,return,agent,env,learning_rate,regularization_beta,test_results
385,105.0,OpenAI-DeepQ,CartPole-v0,0,0,105.0
386,144.0,OpenAI-DeepQ,CartPole-v0,0,0,144.0
387,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
388,155.0,OpenAI-DeepQ,CartPole-v0,0,0,155.0
389,144.0,OpenAI-DeepQ,CartPole-v0,0,0,144.0
390,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
391,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
392,159.0,OpenAI-DeepQ,CartPole-v0,0,0,159.0
393,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
394,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
395,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
396,136.0,OpenAI-DeepQ,CartPole-v0,0,0,136.0
397,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
398,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
399,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
400,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
401,118.0,OpenAI-DeepQ,CartPole-v0,0,0,118.0
402,97.0,OpenAI-DeepQ,CartPole-v0,0,0,97.0
403,104.0,OpenAI-DeepQ,CartPole-v0,0,0,104.0
404,102.0,OpenAI-DeepQ,CartPole-v0,0,0,102.0
405,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
406,102.0,OpenAI-DeepQ,CartPole-v0,0,0,102.0
407,99.0,OpenAI-DeepQ,CartPole-v0,0,0,99.0
408,103.0,OpenAI-DeepQ,CartPole-v0,0,0,103.0
409,99.0,OpenAI-DeepQ,CartPole-v0,0,0,99.0
410,98.0,OpenAI-DeepQ,CartPole-v0,0,0,98.0
411,98.0,OpenAI-DeepQ,CartPole-v0,0,0,98.0
412,107.0,OpenAI-DeepQ,CartPole-v0,0,0,107.0
413,112.0,OpenAI-DeepQ,CartPole-v0,0,0,112.0
414,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
415,101.0,OpenAI-DeepQ,CartPole-v0,0,0,101.0
416,97.0,OpenAI-DeepQ,CartPole-v0,0,0,97.0
417,112.0,OpenAI-DeepQ,CartPole-v0,0,0,112.0
418,118.0,OpenAI-DeepQ,CartPole-v0,0,0,118.0
419,100.0,OpenAI-DeepQ,CartPole-v0,0,0,100.0
420,89.0,OpenAI-DeepQ,CartPole-v0,0,0,89.0
421,156.0,OpenAI-DeepQ,CartPole-v0,0,0,156.0
422,160.0,OpenAI-DeepQ,CartPole-v0,0,0,160.0
423,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
424,166.0,OpenAI-DeepQ,CartPole-v0,0,0,166.0
425,172.0,OpenAI-DeepQ,CartPole-v0,0,0,172.0
426,199.0,OpenAI-DeepQ,CartPole-v0,0,0,199.0
427,160.0,OpenAI-DeepQ,CartPole-v0,0,0,160.0
428,181.0,OpenAI-DeepQ,CartPole-v0,0,0,181.0
429,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
430,131.0,OpenAI-DeepQ,CartPole-v0,0,0,131.0
431,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
432,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
433,150.0,OpenAI-DeepQ,CartPole-v0,0,0,150.0
434,97.0,OpenAI-DeepQ,CartPole-v0,0,0,97.0
435,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
436,135.0,OpenAI-DeepQ,CartPole-v0,0,0,135.0
437,179.0,OpenAI-DeepQ,CartPole-v0,0,0,179.0
438,148.0,OpenAI-DeepQ,CartPole-v0,0,0,148.0
439,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
440,144.0,OpenAI-DeepQ,CartPole-v0,0,0,144.0
441,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
442,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
443,144.0,OpenAI-DeepQ,CartPole-v0,0,0,144.0
444,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
445,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
446,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
447,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
448,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
449,147.0,OpenAI-DeepQ,CartPole-v0,0,0,147.0
